strike,bid,ask,mid,volume,openInterest,spread_pct,moneyness,iv,T,expiry,option_type
625.0,19.1,19.72,19.41,46.0,102,0.03194229778464696,0.9856644955763377,0.28347110475643983,0.038356164383561646,2026-04-10,call
627.0,17.9,18.55,18.225,22.0,177,0.0356652949245543,0.988818621962182,0.2832973913212356,0.038356164383561646,2026-04-10,call
632.0,15.09,15.18,15.135,323.0,401,0.0059464816650148565,0.9967039379267927,0.27629283646888153,0.038356164383561646,2026-04-10,call
635.0,13.39,13.48,13.435,2726.0,372,0.0066989207294380244,1.001435127505559,0.272520415169556,0.038356164383561646,2026-04-10,call
638.0,11.8,11.88,11.84,1121.0,310,0.006756756756756763,1.0061663170843256,0.2687489185585836,0.038356164383561646,2026-04-10,call
640.0,10.79,10.87,10.829999999999998,8072.0,308,0.007386888273314874,1.0093204434701697,0.2661016455820686,0.038356164383561646,2026-04-10,call
644.0,8.91,8.98,8.945,938.0,244,0.007825600894354419,1.0156286962418584,0.2605425230637235,0.038356164383561646,2026-04-10,call
645.0,8.47,8.54,8.504999999999999,4012.0,865,0.008230452674896945,1.0172057594347805,0.25914705821231293,0.038356164383561646,2026-04-10,call
646.0,8.04,8.11,8.075,416.0,661,0.008668730650154834,1.0187828226277027,0.2576969055465249,0.038356164383561646,2026-04-10,call
647.0,7.62,7.69,7.655,459.0,301,0.009144350097975217,1.0203598858206249,0.2561867878517228,0.038356164383561646,2026-04-10,call
648.0,7.22,7.29,7.255,317.0,644,0.009648518263266752,1.0219369490135468,0.2548310337735759,0.038356164383561646,2026-04-10,call
649.0,6.82,6.89,6.855,401.0,1014,0.010211524434719094,1.023514012206469,0.2531940046792913,0.038356164383561646,2026-04-10,call
650.0,6.47,6.51,6.49,4559.0,3507,0.006163328197226508,1.0250910753993911,0.2520500902648708,0.038356164383561646,2026-04-10,call
651.0,6.07,6.14,6.105,416.0,574,0.011466011466011367,1.0266681385923133,0.25016337965022534,0.038356164383561646,2026-04-10,call
652.0,5.72,5.78,5.75,1186.0,1173,0.010434782608695738,1.0282452017852355,0.24866069620067044,0.038356164383561646,2026-04-10,call
653.0,5.37,5.44,5.405,516.0,940,0.012950971322849265,1.0298222649781577,0.2470891462339712,0.038356164383561646,2026-04-10,call
654.0,5.04,5.1,5.07,688.0,1411,0.01183431952662714,1.0313993281710798,0.24544432502629812,0.038356164383561646,2026-04-10,call
655.0,4.72,4.78,4.75,3488.0,2703,0.012631578947368527,1.032976391364002,0.24385109232486182,0.038356164383561646,2026-04-10,call
656.0,4.42,4.47,4.445,1269.0,1183,0.01124859392575924,1.034553454556924,0.2423084197824334,0.038356164383561646,2026-04-10,call
657.0,4.12,4.18,4.15,681.0,988,0.01445783132530111,1.036130517749846,0.24069549758711414,0.038356164383561646,2026-04-10,call
658.0,3.84,3.89,3.865,525.0,912,0.012936610608020767,1.0377075809427683,0.2390113349241294,0.038356164383561646,2026-04-10,call
659.0,3.57,3.62,3.5949999999999998,276.0,759,0.013908205841446529,1.0392846441356904,0.2373830239542088,0.038356164383561646,2026-04-10,call
660.0,3.31,3.36,3.335,5721.0,15268,0.014992503748125883,1.0408617073286126,0.23568518421995316,0.038356164383561646,2026-04-10,call
661.0,3.06,3.11,3.085,381.0,399,0.016207455429497513,1.0424387705215348,0.23391430064290558,0.038356164383561646,2026-04-10,call
662.0,2.82,2.88,2.8499999999999996,794.0,1178,0.02105263157894739,1.044015833714457,0.23221718048907447,0.038356164383561646,2026-04-10,call
663.0,2.6,2.65,2.625,419.0,676,0.01904761904761898,1.045592896907379,0.23045274582972344,0.038356164383561646,2026-04-10,call
664.0,2.39,2.44,2.415,814.0,2426,0.020703933747411935,1.047169960100301,0.22877950589125562,0.038356164383561646,2026-04-10,call
665.0,2.19,2.24,2.215,4290.0,2755,0.022573363431151364,1.0487470232932232,0.22705267081227384,0.038356164383561646,2026-04-10,call
666.0,2.0,2.04,2.02,628.0,1014,0.01980198019801982,1.0503240864861454,0.2250877927277381,0.038356164383561646,2026-04-10,call
667.0,1.82,1.87,1.8450000000000002,3439.0,1589,0.02710027100271005,1.0519011496790676,0.22342435321229231,0.038356164383561646,2026-04-10,call
668.0,1.66,1.7,1.68,734.0,2871,0.023809523809523832,1.0534782128719897,0.221731466204622,0.038356164383561646,2026-04-10,call
669.0,1.5,1.54,1.52,1332.0,1699,0.026315789473684233,1.055055276064912,0.21980575609184672,0.038356164383561646,2026-04-10,call
670.0,1.36,1.4,1.38,5734.0,6428,0.02898550724637668,1.056632339257834,0.21827560182405736,0.038356164383561646,2026-04-10,call
671.0,1.22,1.26,1.24,354.0,799,0.03225806451612906,1.0582094024507562,0.21630435200167558,0.038356164383561646,2026-04-10,call
