strike,bid,ask,mid,volume,openInterest,spread_pct,moneyness,iv,T,expiry,option_type
625.0,19.1,19.72,19.41,46.0,102,0.03194229778464696,0.9856644955763377,0.2948900838325024,0.03561643835616438,2026-04-10,call
627.0,17.9,18.55,18.225,22.0,177,0.0356652949245543,0.988818621962182,0.2946746239372137,0.03561643835616438,2026-04-10,call
632.0,15.09,15.18,15.135,323.0,401,0.0059464816650148565,0.9967039379267927,0.28733017345386025,0.03561643835616438,2026-04-10,call
635.0,13.39,13.48,13.435,2726.0,372,0.0066989207294380244,1.001435127505559,0.28337476742274154,0.03561643835616438,2026-04-10,call
638.0,11.8,11.88,11.84,1121.0,310,0.006756756756756763,1.0061663170843256,0.2794235060814466,0.03561643835616438,2026-04-10,call
640.0,10.79,10.87,10.829999999999998,8072.0,308,0.007386888273314874,1.0093204434701697,0.276653266782125,0.03561643835616438,2026-04-10,call
644.0,8.91,8.98,8.945,938.0,244,0.007825600894354419,1.0156286962418584,0.2708410960048178,0.03561643835616438,2026-04-10,call
645.0,8.47,8.54,8.504999999999999,4012.0,865,0.008230452674896945,1.0172057594347805,0.2693833126761608,0.03561643835616438,2026-04-10,call
646.0,8.04,8.11,8.075,416.0,661,0.008668730650154834,1.0187828226277027,0.26786863896312135,0.03561643835616438,2026-04-10,call
647.0,7.62,7.69,7.655,459.0,301,0.009144350097975217,1.0203598858206249,0.26629195892208585,0.03561643835616438,2026-04-10,call
648.0,7.22,7.29,7.255,317.0,644,0.009648518263266752,1.0219369490135468,0.2648757627369244,0.03561643835616438,2026-04-10,call
649.0,6.82,6.89,6.855,401.0,1014,0.010211524434719094,1.023514012206469,0.26316776472822684,0.03561643835616438,2026-04-10,call
650.0,6.47,6.51,6.49,4559.0,3507,0.006163328197226508,1.0250910753993911,0.2619716559404771,0.03561643835616438,2026-04-10,call
651.0,6.07,6.14,6.105,416.0,574,0.011466011466011367,1.0266681385923133,0.2600052758651569,0.03561643835616438,2026-04-10,call
652.0,5.72,5.78,5.75,1186.0,1173,0.010434782608695738,1.0282452017852355,0.2584374360701566,0.03561643835616438,2026-04-10,call
653.0,5.37,5.44,5.405,516.0,940,0.012950971322849265,1.0298222649781577,0.25679828241144953,0.03561643835616438,2026-04-10,call
654.0,5.04,5.1,5.07,688.0,1411,0.01183431952662714,1.0313993281710798,0.25508316087181254,0.03561643835616438,2026-04-10,call
655.0,4.72,4.78,4.75,3488.0,2703,0.012631578947368527,1.032976391364002,0.2534220454310616,0.03561643835616438,2026-04-10,call
656.0,4.42,4.47,4.445,1269.0,1183,0.01124859392575924,1.034553454556924,0.2518134749121336,0.03561643835616438,2026-04-10,call
657.0,4.12,4.18,4.15,681.0,988,0.01445783132530111,1.036130517749846,0.2501321503436627,0.03561643835616438,2026-04-10,call
